Strng:doing laundry<count> Count:6<count> Probability:0.84615386
Strng:getting played<count> Count:6<count> Probability:0.5555556
Strng:getting no<count> Count:6<count> Probability:0.4827586
Strng:getting to<count> Count:6<count> Probability:0.33333334
Strng:getting phone<count> Count:6<count> Probability:0.6666667
Strng:being {number}<count> Count:6<count> Probability:0.01
Strng:having bruises<count> Count:6<count> Probability:1.0
Strng:being wide<count> Count:6<count> Probability:1.0
Strng:sleeping on<count> Count:6<count> Probability:0.42424244
Strng:being accused<count> Count:6<count> Probability:0.6666667
Strng:knowing that<count> Count:6<count> Probability:0.39473686
Strng:waiting at<count> Count:6<count> Probability:0.8181818
Strng:having homework<count> Count:6<count> Probability:0.8888889
Strng:seeing the<count> Count:6<count> Probability:0.27083334
Strng:getting texts<count> Count:6<count> Probability:0.8333333
Strng:writing papers<count> Count:6<count> Probability:0.6666667
Strng:being stood<count> Count:6<count> Probability:1.0
Strng:being hit<count> Count:6<count> Probability:0.8333333
Strng:getting punched<count> Count:6<count> Probability:0.8
Strng:getting hate<count> Count:6<count> Probability:0.75
Strng:being blamed<count> Count:6<count> Probability:1.0
Strng:doing lab<count> Count:6<count> Probability:1.0
Strng:getting the<count> Count:6<count> Probability:0.2195122
Strng:being second<count> Count:6<count> Probability:1.0
Strng:feeling ignored<count> Count:6<count> Probability:1.0
Strng:rumors i<count> Count:6<count> Probability:0.64285713
Strng:watching scary<count> Count:6<count> Probability:0.75
Strng:having class<count> Count:6<count> Probability:0.42857143
Strng:taking cold<count> Count:6<count> Probability:0.75
Strng:waiting around<count> Count:6<count> Probability:1.0
Strng:working my<count> Count:6<count> Probability:0.75
Strng:walking past<count> Count:6<count> Probability:0.8
Strng:having {number}<count> Count:6<count> Probability:0.01
Strng:working at<count> Count:5<count> Probability:0.6896552
Strng:dropping my<count> Count:5<count> Probability:0.71428573
Strng:riding the<count> Count:5<count> Probability:0.7777778
Strng:spending all<count> Count:5<count> Probability:0.8
Strng:falling asleep<count> Count:5<count> Probability:0.31034482
Strng:cleaning up<count> Count:5<count> Probability:0.7
Strng:fire alarms<count> Count:5<count> Probability:0.75
Strng:seeing all<count> Count:5<count> Probability:0.77272725
Strng:having so<count> Count:5<count> Probability:0.4
Strng:nothing more<count> Count:5<count> Probability:0.4090909
Strng:waiting {number}<count> Count:5<count> Probability:0.01
Strng:talking about<count> Count:5<count> Probability:0.23976608
Strng:spending the<count> Count:5<count> Probability:0.6666667
Strng:driving to<count> Count:5<count> Probability:0.42307693
Strng:taking the<count> Count:5<count> Probability:0.4651163
Strng:going into<count> Count:5<count> Probability:0.38709676
Strng:homework so<count> Count:5<count> Probability:0.625
Strng:school so<count> Count:5<count> Probability:0.4181818
Strng:picking up<count> Count:5<count> Probability:0.35
Strng:doing my<count> Count:5<count> Probability:0.23287672
Strng:being caught<count> Count:4<count> Probability:0.4
Strng:being raped<count> Count:4<count> Probability:1.0
Strng:sitting by<count> Count:4<count> Probability:0.6666667
Strng:sleeping in<count> Count:4<count> Probability:0.28301886
Strng:being stalked<count> Count:4<count> Probability:0.6666667
Strng:being exhausted<count> Count:4<count> Probability:1.0
Strng:redoing work<count> Count:4<count> Probability:1.0
Strng:being replaced<count> Count:4<count> Probability:0.8181818
Strng:being allergic<count> Count:4<count> Probability:1.0
Strng:feeling left<count> Count:4<count> Probability:1.0
Strng:getting stood<count> Count:4<count> Probability:1.0
Strng:being walked<count> Count:4<count> Probability:1.0
Strng:being being<count> Count:4<count> Probability:0.01
Strng:working till<count> Count:4<count> Probability:1.0
Strng:making meat<count> Count:4<count> Probability:1.0
Strng:reading tweets<count> Count:4<count> Probability:0.42857143
Strng:reading about<count> Count:4<count> Probability:0.6086956
Strng:having quizzes<count> Count:4<count> Probability:1.0
Strng:hitting red<count> Count:4<count> Probability:1.0
Strng:getting told<count> Count:4<count> Probability:0.6
Strng:eating by<count> Count:4<count> Probability:0.6666667
Strng:watching fresh<count> Count:4<count> Probability:1.0
Strng:hearing people<count> Count:4<count> Probability:0.8333333
Strng:wakin up<count> Count:4<count> Probability:0.71428573
Strng:writing english<count> Count:4<count> Probability:1.0
Strng:getting stuck<count> Count:4<count> Probability:0.5
Strng:getting emails<count> Count:4<count> Probability:1.0
Strng:getting mixed<count> Count:4<count> Probability:0.5
Strng:being lead<count> Count:4<count> Probability:0.75
Strng:arguing with<count> Count:4<count> Probability:0.4375
Strng:being so<count> Count:4<count> Probability:0.39285713
Strng:having terrible<count> Count:4<count> Probability:1.0
Strng:shoveling snow<count> Count:4<count> Probability:1.0
Strng:trying steak<count> Count:4<count> Probability:1.0
Strng:losing my<count> Count:4<count> Probability:0.34285715
Strng:being grounded<count> Count:4<count> Probability:0.8333333
Strng:walking up<count> Count:4<count> Probability:0.53846157
Strng:having headaches<count> Count:4<count> Probability:1.0
Strng:having first<count> Count:4<count> Probability:1.0
Strng:having broken<count> Count:4<count> Probability:1.0
Strng:seeing that<count> Count:4<count> Probability:0.5294118
Strng:getting headaches<count> Count:4<count> Probability:0.75
Strng:getting random<count> Count:4<count> Probability:1.0
Strng:sitting next<count> Count:4<count> Probability:0.42857143
Strng:getting new<count> Count:4<count> Probability:0.5555556
Strng:is lying<count> Count:4<count> Probability:0.25
Strng:getting free<count> Count:4<count> Probability:0.75
Strng:being cussed<count> Count:4<count> Probability:1.0
Strng:watching movies<count> Count:4<count> Probability:0.3
Strng:seeing everyone<count> Count:4<count> Probability:0.75
Strng:meeting guys<count> Count:4<count> Probability:1.0
Strng:doing psychology<count> Count:4<count> Probability:0.75
Strng:working all<count> Count:4<count> Probability:0.9047619
Strng:living next<count> Count:4<count> Probability:1.0
Strng:driving behind<count> Count:4<count> Probability:1.0
Strng:being made<count> Count:4<count> Probability:0.6
Strng:getting paid<count> Count:4<count> Probability:0.5833333
Strng:working everyday<count> Count:4<count> Probability:1.0
Strng:feeling disrespected<count> Count:4<count> Probability:1.0
Strng:coming downstairs<count> Count:4<count> Probability:1.0
Strng:seeing happy<count> Count:4<count> Probability:0.6666667
Strng:getting soak<count> Count:4<count> Probability:1.0
Strng:getting less<count> Count:4<count> Probability:0.2
Strng:feeling stressed<count> Count:4<count> Probability:1.0
Strng:getting stared<count> Count:4<count> Probability:1.0
Strng:being pushed<count> Count:4<count> Probability:0.71428573
Strng:spending vacation<count> Count:4<count> Probability:1.0
Strng:being screwed<count> Count:4<count> Probability:1.0
Strng:watching a<count> Count:4<count> Probability:0.304
Strng:setting my<count> Count:4<count> Probability:0.5555556
Strng:being blinded<count> Count:4<count> Probability:1.0
Strng:missing the<count> Count:4<count> Probability:0.5714286
Strng:being samoan<count> Count:4<count> Probability:1.0
Strng:getting in<count> Count:4<count> Probability:0.3181818
