Strng:being wide<count> Count:6<count> Probability:0.0
Strng:sleeping on<count> Count:6<count> Probability:0.0
Strng:being accused<count> Count:6<count> Probability:0.0
Strng:knowing that<count> Count:6<count> Probability:0.0
Strng:waiting at<count> Count:6<count> Probability:0.0
Strng:having homework<count> Count:6<count> Probability:0.0
Strng:seeing the<count> Count:6<count> Probability:0.0
Strng:getting texts<count> Count:6<count> Probability:0.0
Strng:writing papers<count> Count:6<count> Probability:0.0
Strng:being stood<count> Count:6<count> Probability:0.0
Strng:being hit<count> Count:6<count> Probability:0.0
Strng:getting punched<count> Count:6<count> Probability:0.0
Strng:getting hate<count> Count:6<count> Probability:0.0
Strng:being blamed<count> Count:6<count> Probability:0.0
Strng:doing lab<count> Count:6<count> Probability:0.0
Strng:getting the<count> Count:6<count> Probability:0.0
Strng:being second<count> Count:6<count> Probability:0.0
Strng:feeling ignored<count> Count:6<count> Probability:0.0
Strng:rumors i<count> Count:6<count> Probability:0.0
Strng:watching scary<count> Count:6<count> Probability:0.0
Strng:having class<count> Count:6<count> Probability:0.0
Strng:taking cold<count> Count:6<count> Probability:0.0
Strng:waiting around<count> Count:6<count> Probability:0.0
Strng:working my<count> Count:6<count> Probability:0.0
Strng:walking past<count> Count:6<count> Probability:0.0
Strng:having {number}<count> Count:6<count> Probability:0.0
Strng:working at<count> Count:5<count> Probability:0.0
Strng:dropping my<count> Count:5<count> Probability:0.0
Strng:riding the<count> Count:5<count> Probability:0.0
Strng:spending all<count> Count:5<count> Probability:0.0
Strng:falling asleep<count> Count:5<count> Probability:0.0
Strng:cleaning up<count> Count:5<count> Probability:0.0
Strng:fire alarms<count> Count:5<count> Probability:0.0
Strng:seeing all<count> Count:5<count> Probability:0.0
Strng:having so<count> Count:5<count> Probability:0.0
Strng:nothing more<count> Count:5<count> Probability:0.0
Strng:waiting {number}<count> Count:5<count> Probability:0.0
Strng:talking about<count> Count:5<count> Probability:0.0
Strng:spending the<count> Count:5<count> Probability:0.0
