Strng:being second best<count> Count:4<count> Probability:1.0
Strng:doing yard work<count> Count:4<count> Probability:1.0
Strng:getting soak and<count> Count:4<count> Probability:1.0
Strng:getting blood drawn<count> Count:4<count> Probability:1.0
Strng:getting less than<count> Count:4<count> Probability:1.0
Strng:being lead on<count> Count:4<count> Probability:0.75
Strng:having volleyball practice<count> Count:4<count> Probability:1.0
Strng:walking to school<count> Count:4<count> Probability:0.53333336
Strng:having so many<count> Count:4<count> Probability:0.5
Strng:having homework in<count> Count:4<count> Probability:0.6666667
Strng:being in a<count> Count:4<count> Probability:0.26923078
Strng:being ignored for<count> Count:4<count> Probability:1.0
Strng:getting ditched it<count> Count:4<count> Probability:1.0
Strng:coming downstairs only<count> Count:4<count> Probability:1.0
Strng:texting people that<count> Count:4<count> Probability:0.6666667
Strng:walking home after<count> Count:4<count> Probability:0.01
Strng:being allergic to<count> Count:4<count> Probability:1.0
Strng:being up before<count> Count:4<count> Probability:1.0
Strng:people who don't<count> Count:4<count> Probability:0.4
Strng:working until {number}<count> Count:4<count> Probability:0.01
Strng:getting no sleep<count> Count:4<count> Probability:0.8333333
Strng:getting sick right<count> Count:4<count> Probability:1.0
Strng:running late {number}<count> Count:4<count> Probability:0.01
Strng:getting stared at<count> Count:4<count> Probability:1.0
Strng:getting hit in<count> Count:4<count> Probability:1.0
Strng:being sick in<count> Count:4<count> Probability:1.0
Strng:getting hit on<count> Count:4<count> Probability:0.75
Strng:spending vacation up<count> Count:4<count> Probability:1.0
Strng:sending sleep text<count> Count:4<count> Probability:1.0
Strng:getting punched in<count> Count:4<count> Probability:0.75
Strng:being ignored #myfavorite<count> Count:4<count> Probability:1.0
Strng:school so much<count> Count:4<count> Probability:0.5
Strng:fighting with you<count> Count:4<count> Probability:0.75
Strng:being left to<count> Count:4<count> Probability:1.0
Strng:having to go<count> Count:4<count> Probability:0.625
Strng:walking to class<count> Count:4<count> Probability:0.85714287
Strng:getting mixed signals<count> Count:4<count> Probability:0.5
Strng:walking in the<count> Count:4<count> Probability:0.33333334
Strng:having quizzes that<count> Count:4<count> Probability:1.0
Strng:working doubles all<count> Count:4<count> Probability:0.01
Strng:being called an<count> Count:4<count> Probability:1.0
Strng:getting ditched for<count> Count:4<count> Probability:1.0
Strng:watching fresh beat<count> Count:4<count> Probability:1.0
Strng:being ignored d<count> Count:4<count> Probability:1.0
Strng:being told what<count> Count:4<count> Probability:1.0
Strng:having bruises the<count> Count:4<count> Probability:1.0
Strng:having practice on<count> Count:4<count> Probability:1.0
Strng:coming to school<count> Count:4<count> Probability:0.44444445
Strng:setting my alarm<count> Count:4<count> Probability:0.6666667
Strng:getting called into<count> Count:4<count> Probability:1.0
Strng:having terrible wifi<count> Count:4<count> Probability:1.0
Strng:going to class<count> Count:4<count> Probability:0.5714286
Strng:having to get<count> Count:4<count> Probability:0.7692308
Strng:working till {number}<count> Count:4<count> Probability:0.01
Strng:feeling left out<count> Count:4<count> Probability:1.0
Strng:getting sick and<count> Count:4<count> Probability:0.6666667
Strng:spending time with<count> Count:4<count> Probability:0.5
Strng:getting treated like<count> Count:4<count> Probability:1.0
Strng:getting texts from<count> Count:4<count> Probability:0.75
Strng:getting shoved from<count> Count:4<count> Probability:1.0
Strng:being alone on<count> Count:4<count> Probability:1.0
Strng:feeling ignored #ohwell<count> Count:4<count> Probability:0.01
Strng:getting sick in<count> Count:4<count> Probability:1.0
Strng:being stalked it<count> Count:4<count> Probability:1.0
Strng:paying bills so<count> Count:4<count> Probability:1.0
Strng:being told how<count> Count:4<count> Probability:1.0
Strng:doing lab reports<count> Count:4<count> Probability:1.0
Strng:being ignored #notreally<count> Count:4<count> Probability:1.0
Strng:having chapped lips<count> Count:4<count> Probability:1.0
Strng:getting stood up<count> Count:4<count> Probability:1.0
Strng:hitting red lights<count> Count:4<count> Probability:1.0
Strng:having a cold<count> Count:4<count> Probability:1.0
Strng:being ignored #bestfeelingever<count> Count:4<count> Probability:1.0
Strng:texting someone and<count> Count:4<count> Probability:0.85714287
Strng:living next to<count> Count:4<count> Probability:1.0
Strng:working {number} hours<count> Count:4<count> Probability:0.01
Strng:trying steak ribs<count> Count:4<count> Probability:1.0
Strng:eating by myself<count> Count:4<count> Probability:1.0
Strng:getting kicked in<count> Count:4<count> Probability:1.0
Strng:getting home from<count> Count:4<count> Probability:0.6666667
Strng:being sick during<count> Count:4<count> Probability:1.0
Strng:being ignored when<count> Count:4<count> Probability:1.0
Strng:being raped by<count> Count:4<count> Probability:1.0
Strng:being blinded by<count> Count:4<count> Probability:1.0
Strng:getting emails from<count> Count:4<count> Probability:1.0
