Token:meeting guys at<delim> Count:4<delim> Probability:1.0
Token:scoring last minute<delim> Count:4<delim> Probability:1.0
Token:getting chewed out<delim> Count:4<delim> Probability:1.0
Token:being sick over<delim> Count:4<delim> Probability:1.0
Token:being second best<delim> Count:4<delim> Probability:1.0
Token:doing yard work<delim> Count:4<delim> Probability:1.0
Token:getting soak and<delim> Count:4<delim> Probability:1.0
Token:getting blood drawn<delim> Count:4<delim> Probability:1.0
Token:getting less than<delim> Count:4<delim> Probability:1.0
Token:being lead on<delim> Count:4<delim> Probability:0.75
Token:having volleyball practice<delim> Count:4<delim> Probability:1.0
Token:walking to school<delim> Count:4<delim> Probability:0.53333336
Token:having so many<delim> Count:4<delim> Probability:0.5
Token:having homework in<delim> Count:4<delim> Probability:0.6666667
Token:being in a<delim> Count:4<delim> Probability:0.26923078
Token:being ignored for<delim> Count:4<delim> Probability:1.0
Token:getting ditched it<delim> Count:4<delim> Probability:1.0
Token:coming downstairs only<delim> Count:4<delim> Probability:1.0
Token:texting people that<delim> Count:4<delim> Probability:0.6666667
Token:walking home after<delim> Count:4<delim> Probability:0.01
Token:being allergic to<delim> Count:4<delim> Probability:1.0
Token:being up before<delim> Count:4<delim> Probability:1.0
Token:people who don't<delim> Count:4<delim> Probability:0.4
Token:working until {number}<delim> Count:4<delim> Probability:0.01
Token:getting no sleep<delim> Count:4<delim> Probability:0.8333333
Token:getting sick right<delim> Count:4<delim> Probability:1.0
Token:running late {number}<delim> Count:4<delim> Probability:0.01
Token:getting stared at<delim> Count:4<delim> Probability:1.0
Token:getting hit in<delim> Count:4<delim> Probability:1.0
Token:being sick in<delim> Count:4<delim> Probability:1.0
Token:getting hit on<delim> Count:4<delim> Probability:0.75
Token:spending vacation up<delim> Count:4<delim> Probability:1.0
Token:sending sleep text<delim> Count:4<delim> Probability:1.0
Token:getting punched in<delim> Count:4<delim> Probability:0.75
Token:being ignored #myfavorite<delim> Count:4<delim> Probability:1.0
Token:school so much<delim> Count:4<delim> Probability:0.5
Token:fighting with you<delim> Count:4<delim> Probability:0.75
Token:being left to<delim> Count:4<delim> Probability:1.0
Token:having to go<delim> Count:4<delim> Probability:0.625
Token:walking to class<delim> Count:4<delim> Probability:0.85714287
Token:getting mixed signals<delim> Count:4<delim> Probability:0.5
Token:walking in the<delim> Count:4<delim> Probability:0.33333334
