Token:working until<delim> Count:6<delim> Probability:1.0
Token:being surrounded<delim> Count:6<delim> Probability:0.8333333
Token:smelling like<delim> Count:6<delim> Probability:0.71428573
Token:getting locked<delim> Count:6<delim> Probability:1.0
Token:doing laundry<delim> Count:6<delim> Probability:0.84615386
Token:getting played<delim> Count:6<delim> Probability:0.5555556
Token:getting no<delim> Count:6<delim> Probability:0.4827586
Token:getting to<delim> Count:6<delim> Probability:0.33333334
Token:getting phone<delim> Count:6<delim> Probability:0.6666667
Token:being {number}<delim> Count:6<delim> Probability:0.01
Token:having bruises<delim> Count:6<delim> Probability:1.0
Token:being wide<delim> Count:6<delim> Probability:1.0
Token:sleeping on<delim> Count:6<delim> Probability:0.42424244
Token:being accused<delim> Count:6<delim> Probability:0.6666667
Token:knowing that<delim> Count:6<delim> Probability:0.39473686
Token:waiting at<delim> Count:6<delim> Probability:0.8181818
Token:having homework<delim> Count:6<delim> Probability:0.8888889
Token:seeing the<delim> Count:6<delim> Probability:0.27083334
Token:getting texts<delim> Count:6<delim> Probability:0.8333333
Token:writing papers<delim> Count:6<delim> Probability:0.6666667
Token:being stood<delim> Count:6<delim> Probability:1.0
Token:being hit<delim> Count:6<delim> Probability:0.8333333
Token:getting punched<delim> Count:6<delim> Probability:0.8
Token:getting hate<delim> Count:6<delim> Probability:0.75
Token:being blamed<delim> Count:6<delim> Probability:1.0
Token:doing lab<delim> Count:6<delim> Probability:1.0
Token:getting the<delim> Count:6<delim> Probability:0.2195122
Token:being second<delim> Count:6<delim> Probability:1.0
Token:feeling ignored<delim> Count:6<delim> Probability:1.0
Token:rumors i<delim> Count:6<delim> Probability:0.64285713
Token:watching scary<delim> Count:6<delim> Probability:0.75
Token:having class<delim> Count:6<delim> Probability:0.42857143
Token:taking cold<delim> Count:6<delim> Probability:0.75
Token:waiting around<delim> Count:6<delim> Probability:1.0
Token:working my<delim> Count:6<delim> Probability:0.75
Token:walking past<delim> Count:6<delim> Probability:0.8
Token:having {number}<delim> Count:6<delim> Probability:0.01
Token:working at<delim> Count:5<delim> Probability:0.6896552
Token:dropping my<delim> Count:5<delim> Probability:0.71428573
Token:riding the<delim> Count:5<delim> Probability:0.7777778
Token:spending all<delim> Count:5<delim> Probability:0.8
Token:falling asleep<delim> Count:5<delim> Probability:0.31034482
Token:cleaning up<delim> Count:5<delim> Probability:0.7
Token:fire alarms<delim> Count:5<delim> Probability:0.75
Token:seeing all<delim> Count:5<delim> Probability:0.77272725
Token:having so<delim> Count:5<delim> Probability:0.4
Token:nothing more<delim> Count:5<delim> Probability:0.4090909
Token:waiting {number}<delim> Count:5<delim> Probability:0.01
Token:talking about<delim> Count:5<delim> Probability:0.23976608
Token:spending the<delim> Count:5<delim> Probability:0.6666667
Token:driving to<delim> Count:5<delim> Probability:0.42307693
Token:taking the<delim> Count:5<delim> Probability:0.4651163
Token:going into<delim> Count:5<delim> Probability:0.38709676
Token:homework so<delim> Count:5<delim> Probability:0.625
Token:school so<delim> Count:5<delim> Probability:0.4181818
Token:picking up<delim> Count:5<delim> Probability:0.35
Token:doing my<delim> Count:5<delim> Probability:0.23287672
Token:being caught<delim> Count:4<delim> Probability:0.4
Token:being raped<delim> Count:4<delim> Probability:1.0
Token:sitting by<delim> Count:4<delim> Probability:0.6666667
Token:sleeping in<delim> Count:4<delim> Probability:0.28301886
Token:being stalked<delim> Count:4<delim> Probability:0.6666667
Token:being exhausted<delim> Count:4<delim> Probability:1.0
Token:redoing work<delim> Count:4<delim> Probability:1.0
Token:being replaced<delim> Count:4<delim> Probability:0.8181818
Token:being allergic<delim> Count:4<delim> Probability:1.0
Token:feeling left<delim> Count:4<delim> Probability:1.0
Token:getting stood<delim> Count:4<delim> Probability:1.0
Token:being walked<delim> Count:4<delim> Probability:1.0
Token:being being<delim> Count:4<delim> Probability:0.01
Token:working till<delim> Count:4<delim> Probability:1.0
Token:making meat<delim> Count:4<delim> Probability:1.0
Token:reading tweets<delim> Count:4<delim> Probability:0.42857143
Token:reading about<delim> Count:4<delim> Probability:0.6086956
Token:having quizzes<delim> Count:4<delim> Probability:1.0
Token:hitting red<delim> Count:4<delim> Probability:1.0
Token:getting told<delim> Count:4<delim> Probability:0.6
Token:eating by<delim> Count:4<delim> Probability:0.6666667
Token:watching fresh<delim> Count:4<delim> Probability:1.0
Token:hearing people<delim> Count:4<delim> Probability:0.8333333
Token:wakin up<delim> Count:4<delim> Probability:0.71428573
Token:writing english<delim> Count:4<delim> Probability:1.0
Token:getting stuck<delim> Count:4<delim> Probability:0.5
Token:getting emails<delim> Count:4<delim> Probability:1.0
Token:getting mixed<delim> Count:4<delim> Probability:0.5
Token:being lead<delim> Count:4<delim> Probability:0.75
Token:arguing with<delim> Count:4<delim> Probability:0.4375
Token:being so<delim> Count:4<delim> Probability:0.39285713
Token:having terrible<delim> Count:4<delim> Probability:1.0
Token:shoveling snow<delim> Count:4<delim> Probability:1.0
Token:trying steak<delim> Count:4<delim> Probability:1.0
Token:losing my<delim> Count:4<delim> Probability:0.34285715
Token:being grounded<delim> Count:4<delim> Probability:0.8333333
Token:walking up<delim> Count:4<delim> Probability:0.53846157
Token:having headaches<delim> Count:4<delim> Probability:1.0
Token:having first<delim> Count:4<delim> Probability:1.0
Token:having broken<delim> Count:4<delim> Probability:1.0
Token:seeing that<delim> Count:4<delim> Probability:0.5294118
Token:getting headaches<delim> Count:4<delim> Probability:0.75
Token:getting random<delim> Count:4<delim> Probability:1.0
Token:sitting next<delim> Count:4<delim> Probability:0.42857143
Token:getting new<delim> Count:4<delim> Probability:0.5555556
Token:is lying<delim> Count:4<delim> Probability:0.25
Token:getting free<delim> Count:4<delim> Probability:0.75
Token:being cussed<delim> Count:4<delim> Probability:1.0
Token:watching movies<delim> Count:4<delim> Probability:0.3
Token:seeing everyone<delim> Count:4<delim> Probability:0.75
Token:meeting guys<delim> Count:4<delim> Probability:1.0
Token:doing psychology<delim> Count:4<delim> Probability:0.75
Token:working all<delim> Count:4<delim> Probability:0.9047619
Token:living next<delim> Count:4<delim> Probability:1.0
Token:driving behind<delim> Count:4<delim> Probability:1.0
Token:being made<delim> Count:4<delim> Probability:0.6
Token:getting paid<delim> Count:4<delim> Probability:0.5833333
Token:working everyday<delim> Count:4<delim> Probability:1.0
Token:feeling disrespected<delim> Count:4<delim> Probability:1.0
